data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-07T02:54:18.328176+00:00,Brasileirão - Série B,Cuiabá x Goiás,Cuiabá,Goiás,2025-11-08T00:30:00Z,1X2,X,,3.3,https://www.betano.bet.br/odds/cuiaba-goias/75665041/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:18.328198+00:00,Brasileirão - Série B,Cuiabá x Goiás,Cuiabá,Goiás,2025-11-08T00:30:00Z,1X2,2,,3.25,https://www.betano.bet.br/odds/cuiaba-goias/75665041/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:23.284938+00:00,Brasileirão - Série B,Cuiabá x Goiás,Cuiabá,Goiás,2025-11-08T00:30:00Z,Total de Gols,Over,2.5,2.15,https://www.betano.bet.br/odds/cuiaba-goias/75665041/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:23.284983+00:00,Brasileirão - Série B,Cuiabá x Goiás,Cuiabá,Goiás,2025-11-08T00:30:00Z,Total de Gols,Under,2.5,1.65,https://www.betano.bet.br/odds/cuiaba-goias/75665041/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:28.677025+00:00,Brasileirão - Série B,Vila Nova x Avaí,Vila Nova,Avaí,2025-11-08T23:30:00Z,1X2,1,,2.27,https://www.betano.bet.br/odds/vila-nova-avai/75665136/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:28.677054+00:00,Brasileirão - Série B,Vila Nova x Avaí,Vila Nova,Avaí,2025-11-08T23:30:00Z,1X2,X,,3.0,https://www.betano.bet.br/odds/vila-nova-avai/75665136/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:28.677067+00:00,Brasileirão - Série B,Vila Nova x Avaí,Vila Nova,Avaí,2025-11-08T23:30:00Z,1X2,2,,3.5,https://www.betano.bet.br/odds/vila-nova-avai/75665136/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:32.695354+00:00,Brasileirão - Série B,Vila Nova x Avaí,Vila Nova,Avaí,2025-11-08T23:30:00Z,Total de Gols,Over,1.5,1.52,https://www.betano.bet.br/odds/vila-nova-avai/75665136/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:32.695406+00:00,Brasileirão - Série B,Vila Nova x Avaí,Vila Nova,Avaí,2025-11-08T23:30:00Z,Total de Gols,Under,1.5,2.42,https://www.betano.bet.br/odds/vila-nova-avai/75665136/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:47.962331+00:00,Premier League,West Ham United x Burnley,West Ham United,Burnley,2025-11-08T15:00:00Z,1X2,1,,1.95,https://www.betano.bet.br/odds/west-ham-united-burnley/75360572/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:47.962352+00:00,Premier League,West Ham United x Burnley,West Ham United,Burnley,2025-11-08T15:00:00Z,1X2,X,,3.55,https://www.betano.bet.br/odds/west-ham-united-burnley/75360572/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:47.962361+00:00,Premier League,West Ham United x Burnley,West Ham United,Burnley,2025-11-08T15:00:00Z,1X2,2,,3.95,https://www.betano.bet.br/odds/west-ham-united-burnley/75360572/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:52.341700+00:00,Premier League,West Ham United x Burnley,West Ham United,Burnley,2025-11-08T15:00:00Z,Total de Gols,Over,2.5,1.98,https://www.betano.bet.br/odds/west-ham-united-burnley/75360572/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:52.341727+00:00,Premier League,West Ham United x Burnley,West Ham United,Burnley,2025-11-08T15:00:00Z,Total de Gols,Under,2.5,1.83,https://www.betano.bet.br/odds/west-ham-united-burnley/75360572/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:57.188028+00:00,Premier League,Chelsea x Wolverhampton,Chelsea,Wolverhampton,2025-11-08T20:00:00Z,1X2,1,,1.39,https://www.betano.bet.br/odds/chelsea-wolverhampton/75360633/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:57.188051+00:00,Premier League,Chelsea x Wolverhampton,Chelsea,Wolverhampton,2025-11-08T20:00:00Z,1X2,X,,4.9,https://www.betano.bet.br/odds/chelsea-wolverhampton/75360633/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:54:57.188059+00:00,Premier League,Chelsea x Wolverhampton,Chelsea,Wolverhampton,2025-11-08T20:00:00Z,1X2,2,,7.8,https://www.betano.bet.br/odds/chelsea-wolverhampton/75360633/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:01.222594+00:00,Premier League,Chelsea x Wolverhampton,Chelsea,Wolverhampton,2025-11-08T20:00:00Z,Total de Gols,Over,2.5,1.65,https://www.betano.bet.br/odds/chelsea-wolverhampton/75360633/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:01.222621+00:00,Premier League,Chelsea x Wolverhampton,Chelsea,Wolverhampton,2025-11-08T20:00:00Z,Total de Gols,Under,2.5,2.25,https://www.betano.bet.br/odds/chelsea-wolverhampton/75360633/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:06.306590+00:00,Premier League,Everton x Fulham FC,Everton,Fulham FC,2025-11-08T15:00:00Z,1X2,1,,2.22,https://www.betano.bet.br/odds/everton-fulham-fc/75360446/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:06.306618+00:00,Premier League,Everton x Fulham FC,Everton,Fulham FC,2025-11-08T15:00:00Z,1X2,X,,3.25,https://www.betano.bet.br/odds/everton-fulham-fc/75360446/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:06.306631+00:00,Premier League,Everton x Fulham FC,Everton,Fulham FC,2025-11-08T15:00:00Z,1X2,2,,3.45,https://www.betano.bet.br/odds/everton-fulham-fc/75360446/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:10.540230+00:00,Premier League,Everton x Fulham FC,Everton,Fulham FC,2025-11-08T15:00:00Z,Total de Gols,Over,2.5,2.18,https://www.betano.bet.br/odds/everton-fulham-fc/75360446/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:10.540256+00:00,Premier League,Everton x Fulham FC,Everton,Fulham FC,2025-11-08T15:00:00Z,Total de Gols,Under,2.5,1.7,https://www.betano.bet.br/odds/everton-fulham-fc/75360446/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:15.327944+00:00,Premier League,Sunderland x Arsenal,Sunderland,Arsenal,2025-11-08T17:30:00Z,1X2,1,,8.0,https://www.betano.bet.br/odds/sunderland-arsenal/75360632/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:15.327965+00:00,Premier League,Sunderland x Arsenal,Sunderland,Arsenal,2025-11-08T17:30:00Z,1X2,X,,4.5,https://www.betano.bet.br/odds/sunderland-arsenal/75360632/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:15.327973+00:00,Premier League,Sunderland x Arsenal,Sunderland,Arsenal,2025-11-08T17:30:00Z,1X2,2,,1.42,https://www.betano.bet.br/odds/sunderland-arsenal/75360632/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:19.705325+00:00,Premier League,Sunderland x Arsenal,Sunderland,Arsenal,2025-11-08T17:30:00Z,Total de Gols,Over,2.5,2.0,https://www.betano.bet.br/odds/sunderland-arsenal/75360632/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:19.705354+00:00,Premier League,Sunderland x Arsenal,Sunderland,Arsenal,2025-11-08T17:30:00Z,Total de Gols,Under,2.5,1.82,https://www.betano.bet.br/odds/sunderland-arsenal/75360632/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:24.776854+00:00,Premier League,Tottenham x Manchester United,Tottenham,Manchester United,2025-11-08T12:30:00Z,1X2,1,,2.72,https://www.betano.bet.br/odds/tottenham-manchester-united/75359260/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:24.776876+00:00,Premier League,Tottenham x Manchester United,Tottenham,Manchester United,2025-11-08T12:30:00Z,1X2,X,,3.55,https://www.betano.bet.br/odds/tottenham-manchester-united/75359260/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:24.776884+00:00,Premier League,Tottenham x Manchester United,Tottenham,Manchester United,2025-11-08T12:30:00Z,1X2,2,,2.47,https://www.betano.bet.br/odds/tottenham-manchester-united/75359260/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:28.909209+00:00,Premier League,Tottenham x Manchester United,Tottenham,Manchester United,2025-11-08T12:30:00Z,Total de Gols,Over,2.5,1.65,https://www.betano.bet.br/odds/tottenham-manchester-united/75359260/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:28.909233+00:00,Premier League,Tottenham x Manchester United,Tottenham,Manchester United,2025-11-08T12:30:00Z,Total de Gols,Under,2.5,2.27,https://www.betano.bet.br/odds/tottenham-manchester-united/75359260/,https://www.betano.bet.br/sport/futebol/competicoes/inglaterra/1/
2025-11-07T02:55:39.376152+00:00,LaLiga,Espanyol x Villarreal CF,Espanyol,Villarreal CF,2025-11-08T20:00:00Z,1X2,1,,2.9,https://www.betano.bet.br/odds/espanyol-villarreal-cf/71869791/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
2025-11-07T02:55:39.376173+00:00,LaLiga,Espanyol x Villarreal CF,Espanyol,Villarreal CF,2025-11-08T20:00:00Z,1X2,X,,3.5,https://www.betano.bet.br/odds/espanyol-villarreal-cf/71869791/,https://www.betano.bet.br/sport/futebol/competicoes/espanha/2/
