player_name,club_name,json_club,league_name
Miguel Román,Celta de Vigo,Celta de Vigo,La Liga
Fer López,Celta de Vigo,Celta de Vigo,La Liga
Hugo Álvarez,Celta de Vigo,Celta de Vigo,La Liga
Alfon González,Celta de Vigo,Celta de Vigo,La Liga
Williot Swedberg,Celta de Vigo,Celta de Vigo,La Liga
Jonathan Bamba,Celta de Vigo,Celta de Vigo,La Liga
Franco Cervi,Celta de Vigo,Celta de Vigo,La Liga
Tadeo Allende,Celta de Vigo,Celta de Vigo,La Liga
Jones El-Abdellaoui,Celta de Vigo,Celta de Vigo,La Liga
Iker Losada,Celta de Vigo,Celta de Vigo,La Liga
Anastasios Douvikas,Celta de Vigo,Celta de Vigo,La Liga
Pablo Durán,Celta de Vigo,Celta de Vigo,La Liga
Borja Iglesias,Celta de Vigo,Celta de Vigo,La Liga
Iago Aspas,Celta de Vigo,Celta de Vigo,La Liga
Dinko Horkas,UD Las Palmas,Las Palmas,La Liga
Jasper Cillessen,UD Las Palmas,Las Palmas,La Liga
Álvaro Killane,UD Las Palmas,Las Palmas,La Liga
Victor Puig,UD Las Palmas,Las Palmas,La Liga
Israel Mora,UD Las Palmas,Las Palmas,La Liga
Mika Mármol,UD Las Palmas,Las Palmas,La Liga
Scott McKenna,UD Las Palmas,Las Palmas,La Liga
Juanma Herzog,UD Las Palmas,Las Palmas,La Liga
Andy Pelmard,UD Las Palmas,Las Palmas,La Liga
Álex Suárez,UD Las Palmas,Las Palmas,La Liga
Valentino Raca,UD Las Palmas,Las Palmas,La Liga
Álex Muñoz,UD Las Palmas,Las Palmas,La Liga
Daley Sinkgraven,UD Las Palmas,Las Palmas,La Liga
Diego Martín,UD Las Palmas,Las Palmas,La Liga
Viti Rozada,UD Las Palmas,Las Palmas,La Liga
Marvin Park,UD Las Palmas,Las Palmas,La Liga
Valentín Pezzolesi,UD Las Palmas,Las Palmas,La Liga
Dário Essugo,UD Las Palmas,Las Palmas,La Liga
Stefan Bajcetic,UD Las Palmas,Las Palmas,La Liga
Javi Muñoz,UD Las Palmas,Las Palmas,La Liga
Enzo Loiodice,UD Las Palmas,Las Palmas,La Liga
José Campaña,UD Las Palmas,Las Palmas,La Liga
Fabio González,UD Las Palmas,Las Palmas,La Liga
Aboubacar Bassinga,UD Las Palmas,Las Palmas,La Liga
Kirian Rodríguez,UD Las Palmas,Las Palmas,La Liga
Iván Gil,UD Las Palmas,Las Palmas,La Liga
Sergio Viera,UD Las Palmas,Las Palmas,La Liga
Josito González,UD Las Palmas,Las Palmas,La Liga
Alberto Moleiro,UD Las Palmas,Las Palmas,La Liga
Benito Ramírez,UD Las Palmas,Las Palmas,La Liga
Sergio Ruiz,UD Las Palmas,Las Palmas,La Liga
Arturo Rodríguez,UD Las Palmas,Las Palmas,La Liga
Manu Fuster,UD Las Palmas,Las Palmas,La Liga
Adnan Januzaj,UD Las Palmas,Las Palmas,La Liga
Pejiño,UD Las Palmas,Las Palmas,La Liga
Saliou Mandiang,UD Las Palmas,Las Palmas,La Liga
Fábio Silva,UD Las Palmas,Las Palmas,La Liga
Oli McBurnie,UD Las Palmas,Las Palmas,La Liga
Sandro Ramírez,UD Las Palmas,Las Palmas,La Liga
Marc Cardona,UD Las Palmas,Las Palmas,La Liga
Jaime Mata,UD Las Palmas,Las Palmas,La Liga
Elías Romero,UD Las Palmas,Las Palmas,La Liga
