Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
Round of 16,Tue,2018-08-28,Santos,Independiente (ARG),0-0,,
Round of 16,Tue,2018-08-28,Grêmio,Estudiantes (ARG),2-1,2-1,5-3
Round of 16,Tue,2018-08-28,Atlético Nacional (COL),Atlético Tucumán (ARG),1-0,1-0,
Round of 16,Wed,2018-08-29,River Plate (ARG),Racing Club (ARG),3-0,2-0,
Round of 16,Wed,2018-08-29,Corinthians,Colo-Colo (CHI),2-1,1-1,
Round of 16,Wed,2018-08-29,Cruzeiro,Flamengo,0-1,0-0,
Round of 16,Thu,2018-08-30,Libertad (PAR),Boca Juniors (ARG),2-4,2-2,
Round of 16,Thu,2018-08-30,Palmeiras,Cerro Porteño (PAR),0-1,0-0,
Quarterfinals,Tue,2018-09-18,Atlético Tucumán (ARG),Grêmio,0-2,0-1,
Quarterfinals,Wed,2018-09-19,Independiente (ARG),River Plate (ARG),0-0,,
Quarterfinals,Wed,2018-09-19,Boca Juniors (ARG),Cruzeiro,2-0,1-0,
Quarterfinals,Thu,2018-09-20,Colo-Colo (CHI),Palmeiras,0-2,0-1,
Quarterfinals,Tue,2018-10-02,River Plate (ARG),Independiente (ARG),3-1,0-0,
Quarterfinals,Tue,2018-10-02,Grêmio,Atlético Tucumán (ARG),4-0,2-0,
Quarterfinals,Wed,2018-10-03,Palmeiras,Colo-Colo (CHI),2-0,1-0,
Quarterfinals,Thu,2018-10-04,Cruzeiro,Boca Juniors (ARG),1-1,0-0,
Semifinals,Tue,2018-10-23,River Plate (ARG),Grêmio,0-1,0-0,
Semifinals,Wed,2018-10-24,Boca Juniors (ARG),Palmeiras,2-0,0-0,
Semifinals,Tue,2018-10-30,Grêmio,River Plate (ARG),1-2,1-0,
Semifinals,Wed,2018-10-31,Palmeiras,Boca Juniors (ARG),2-2,0-1,
Final,Sun,2018-11-11,Boca Juniors (ARG),River Plate (ARG),2-2,2-1,
Final,Sun,2018-12-09,River Plate (ARG),Boca Juniors (ARG),3-1,,
