Matchday,Day,Date,Home,Away,FullTime,HalfTime
7,Sun,2016-10-02,AC Milan,Sassuolo,4-3,1-1
7,Sun,2016-10-02,Torino,Fiorentina,2-1,1-0
7,Sun,2016-10-02,Roma,Inter de Milão,2-1,1-0
8,Sat,2016-10-15,Napoli,Roma,1-3,0-1
8,Sat,2016-10-15,Delfino Pescara,Sampdoria,1-1,1-1
8,Sat,2016-10-15,Juventus FC,Udinese,2-1,1-1
8,Sun,2016-10-16,Fiorentina,Atalanta,0-0,
8,Sun,2016-10-16,Genoa CFC,Empoli FC,0-0,
8,Sun,2016-10-16,Inter de Milão,Cagliari,1-2,0-0
8,Sun,2016-10-16,Lazio,Bologna FC,1-1,0-1
8,Sun,2016-10-16,Sassuolo,FC Crotone,2-1,0-1
8,Sun,2016-10-16,Chievo Verona,AC Milan,1-3,0-1
8,Mon,2016-10-17,US Palermo,Torino,1-4,1-3
9,Sat,2016-10-22,Sampdoria,Genoa CFC,2-1,1-1
9,Sat,2016-10-22,AC Milan,Juventus FC,1-0,0-0
9,Sun,2016-10-23,Udinese,Delfino Pescara,3-1,1-0
9,Sun,2016-10-23,Atalanta,Inter de Milão,2-1,1-0
9,Sun,2016-10-23,Cagliari,Fiorentina,3-5,1-4
9,Sun,2016-10-23,FC Crotone,Napoli,1-2,0-2
9,Sun,2016-10-23,Empoli FC,Chievo Verona,0-0,
9,Sun,2016-10-23,Torino,Lazio,2-2,1-0
9,Sun,2016-10-23,Bologna FC,Sassuolo,1-1,1-0
9,Sun,2016-10-23,Roma,US Palermo,4-1,1-0
10,Tue,2016-10-25,Genoa CFC,AC Milan,3-0,1-0
10,Wed,2016-10-26,Chievo Verona,Bologna FC,1-1,0-0
10,Wed,2016-10-26,Fiorentina,FC Crotone,1-1,0-1
10,Wed,2016-10-26,Inter de Milão,Torino,2-1,1-0
10,Wed,2016-10-26,Juventus FC,Sampdoria,4-1,2-0
10,Wed,2016-10-26,Lazio,Cagliari,4-1,3-0
10,Wed,2016-10-26,Napoli,Empoli FC,2-0,0-0
10,Wed,2016-10-26,Delfino Pescara,Atalanta,0-1,0-0
10,Wed,2016-10-26,Sassuolo,Roma,1-3,1-0
